,Datum,time,measurement,measurement,pressure_sample[bar],current[mA],voltage_th[mV],voltage_needle_th[mV],voltage[mV],voltage_needle[mV],R_ges / mOhm*cm²,R_bulk / mOhm*cm²,contact_area[cm2],p_Kraftsensor / ?,pressure_rounded[bar],sample_thickness[cm],parameters,[mV]_in_[V],main_resistance[mOhm],main_resistance_mean[mOhm],main_resistance_error[mOhm],flow_resistance[mOhm],flow_resistance_mean[mOhm],flow_resistance_error[mOhm],bulk_resistance[mOhm],bulk_resistance_mean[mOhm],bulk_resistance_error[mOhm],bulk_resistance_sub[mOhm],contact_resistance[mOhm],contact_resistance_mean[mOhm],contact_resistance_error[mOhm],vs_main_resistance[mOhm*cm],vs_main_resistance_mean[mOhm*cm],vs_main_resistance_error[mOhm*cm],vs_flow_resistance[mOhm*cm],vs_flow_resistance_mean[mOhm*cm],vs_flow_resistance_error[mOhm*cm],vs_bulk_resistance[mOhm*cm],vs_bulk_resistance_mean[mOhm*cm],vs_bulk_resistance_error[mOhm*cm],as_main_resistance[mOhm*cm2],as_main_resistance_mean[mOhm*cm2],as_main_resistance_error[mOhm*cm2],as_flow_resistance[mOhm*cm2],as_flow_resistance_mean[mOhm*cm2],as_flow_resistance_error[mOhm*cm2],as_bulk_resistance[mOhm*cm2],as_bulk_resistance_mean[mOhm*cm2],as_bulk_resistance_error[mOhm*cm2],as_contact_resistance[mOhm*cm2],as_contact_resistance_mean[mOhm*cm2],as_contact_resistance_error[mOhm*cm2],vs_main_conductance[S/cm],vs_main_conductance_mean[S/cm],vs_main_conductance_error[S/cm],vs_flow_conductance[S/cm],vs_flow_conductance_mean[S/cm],vs_flow_conductance_error[S/cm],vs_bulk_conductance[S/cm],vs_bulk_conductance_mean[S/cm],vs_bulk_conductance_error[S/cm],degradation_corr[mOhm],cycle,[mV] in [V]
0,06.10.2020,09:00:07, gps_5bar_h23 ,Test,2.034308,499.8,32.528869,0.015937,32.647191,0.018441,244.951914,0.138361,3.75,0.388589,2.0,0.1,H23m. Nadel,0.0,65.08377151,62.63668111,0.81688014,65.07887984,62.63178944,0.81688014,0.03188675,0.016178,0.00527785,0.0,32.52349654,31.30780572,0.40584269,2440.64143157,2348.87554155,30.63300521,2440.45799407,2348.69210405,30.63300521,0.0,0.0,0.0,244.06414316,234.88755415,3.06330052,244.04579941,234.8692104,3.06330052,0.11957533,0.06066749,0.01979194,121.96311204,117.40427146,1.52191008,0.40972836,0.42594749,0.00541508,0.40975915,0.42598079,0.00541592,836.29290331,2062.15271302,431.67926366,0.00489167,15.0,1000
1,06.10.2020,09:00:10, gps_5bar_h23 ,Test,2.038438,999.0,61.637262,0.012775,61.755585,0.015278,231.815258,0.057351,3.75,0.389434,2.0,0.1,H23m. Nadel,0.0,61.69896096,62.63668111,0.81688014,61.69406929,62.63178944,0.81688014,0.01278779,0.016178,0.00527785,0.0,30.84064075,31.30780572,0.40584269,2313.71103604,2348.87554155,30.63300521,2313.52759854,2348.69210405,30.63300521,0.0,0.0,0.0,231.3711036,234.88755415,3.06330052,231.35275985,234.8692104,3.06330052,0.0479542,0.06066749,0.01979194,115.65240282,117.40427146,1.52191008,0.43220609,0.42594749,0.00541508,0.43224036,0.42598079,0.00541592,2085.32289628,2062.15271302,431.67926366,0.00489167,15.0,1000
2,06.10.2020,09:00:13, gps_5bar_h23 ,Test,2.044754,1499.0,92.791981,0.01541,92.910304,0.017914,232.430713,0.044814,3.75,0.390595,2.0,0.1,H23m. Nadel,0.0,61.90258906,62.63668111,0.81688014,61.89769739,62.63178944,0.81688014,0.01028019,0.016178,0.00527785,0.0,30.9437086,31.30780572,0.40584269,2321.34708973,2348.87554155,30.63300521,2321.16365223,2348.69210405,30.63300521,0.0,0.0,0.0,232.13470897,234.88755415,3.06330052,232.11636522,234.8692104,3.06330052,0.0385507,0.06066749,0.01979194,116.03890726,117.40427146,1.52191008,0.43078435,0.42594749,0.00541508,0.4308184,0.42598079,0.00541592,2593.9865888,2062.15271302,431.67926366,0.00489167,15.0,1000
3,06.10.2020,09:00:16, gps_5bar_h23 ,Test,2.052309,1998.0,123.599083,0.019495,123.717406,0.021998,232.202338,0.041288,3.75,0.392041,2.0,0.1,H23m. Nadel,0.0,61.8614029,62.63668111,0.81688014,61.85651124,62.63178944,0.81688014,0.00975726,0.016178,0.00527785,0.0,30.92337699,31.30780572,0.40584269,2319.80260886,2348.87554155,30.63300521,2319.61917136,2348.69210405,30.63300521,0.0,0.0,0.0,231.98026089,234.88755415,3.06330052,231.96191714,234.8692104,3.06330052,0.03658971,0.06066749,0.01979194,115.96266371,117.40427146,1.52191008,0.43107116,0.42594749,0.00541508,0.43110525,0.42598079,0.00541592,2733.00846371,2062.15271302,431.67926366,0.00489167,15.0,1000
4,06.10.2020,09:00:20, gps_5bar_h23 ,Test,3.059489,499.8,23.442716,0.018836,23.561038,0.02134,176.778499,0.160111,3.75,0.584569,3.0,0.1,H23m. Nadel,0.0,46.90419368,45.92109639,0.32777184,46.90009368,45.91699639,0.32777184,0.03768707,0.02240662,0.00649243,0.0,23.4312033,22.94729488,0.16138256,1758.90726291,1722.04111465,12.29144408,1758.75351291,1721.88736465,12.29144408,0.0,0.0,0.0,175.89072629,172.20411147,1.22914441,175.87535129,172.18873647,1.22914441,0.14132653,0.08402483,0.02434661,87.86701238,86.05235582,0.60518459,0.56853481,0.58079375,0.00408727,0.56858451,0.58084562,0.004088,707.58122744,1585.67218439,477.29441345,0.0041,15.0,1000
5,06.10.2020,09:00:24, gps_5bar_h23 ,Test,3.069901,999.0,45.537517,0.028389,45.655839,0.030893,171.380779,0.115964,3.75,0.586499,3.0,0.1,H23m. Nadel,0.0,45.5831001,45.92109639,0.32777184,45.5790001,45.91699639,0.32777184,0.02841742,0.02240662,0.00649243,0.0,22.77529134,22.94729488,0.16138256,1709.36625375,1722.04111465,12.29144408,1709.21250375,1721.88736465,12.29144408,0.0,0.0,0.0,170.93662538,172.20411147,1.22914441,170.92125038,172.18873647,1.22914441,0.10656532,0.08402483,0.02434661,85.40734253,86.05235582,0.60518459,0.58501213,0.58079375,0.00408727,0.58506476,0.58084562,0.004088,938.39163056,1585.67218439,477.29441345,0.0041,15.0,1000
6,06.10.2020,09:00:27, gps_5bar_h23 ,Test,3.072397,1499.0,68.373765,0.014356,68.492088,0.01686,171.344449,0.042177,3.75,0.586887,3.0,0.1,H23m. Nadel,0.0,45.61291861,45.92109639,0.32777184,45.60881861,45.91699639,0.32777184,0.00957705,0.02240662,0.00649243,0.0,22.79962078,22.94729488,0.16138256,1710.48444797,1722.04111465,12.29144408,1710.33069797,1721.88736465,12.29144408,0.0,0.0,0.0,171.0484448,172.20411147,1.22914441,171.0330698,172.18873647,1.22914441,0.03591394,0.08402483,0.02434661,85.49857793,86.05235582,0.60518459,0.58462969,0.58079375,0.00408727,0.58468225,0.58084562,0.004088,2784.43391845,1585.67218439,477.29441345,0.0041,15.0,1000
7,06.10.2020,09:00:31, gps_5bar_h23 ,Test,3.072706,1998.0,91.077178,0.027862,91.1955,0.030366,171.162726,0.056993,3.75,0.587071,3.0,0.1,H23m. Nadel,0.0,45.58417317,45.92109639,0.32777184,45.58007317,45.91699639,0.32777184,0.01394494,0.02240662,0.00649243,0.0,22.78306411,22.94729488,0.16138256,1709.40649399,1722.04111465,12.29144408,1709.25274399,1721.88736465,12.29144408,0.0,0.0,0.0,170.9406494,172.20411147,1.22914441,170.9252744,172.18873647,1.22914441,0.05229354,0.08402483,0.02434661,85.43649043,86.05235582,0.60518459,0.58499836,0.58079375,0.00408727,0.58505098,0.58084562,0.004088,1912.28196109,1585.67218439,477.29441345,0.0041,15.0,1000
8,06.10.2020,09:00:34, gps_5bar_h23 ,Test,5.063664,499.8,17.643842,0.027994,17.762164,0.030497,133.269536,0.228822,3.75,0.967375,5.0,0.1,H23m. Nadel,0.0,35.30180472,34.94886979,0.12300423,35.29850472,34.94556979,0.12300423,0.0560104,0.02333809,0.01093827,0.0,17.62124716,17.46111585,0.05615717,1323.81767707,1310.582617,4.6126587,1323.69392707,1310.458867,4.6126587,0.0,0.0,0.0,132.38176771,131.0582617,0.46126587,132.36939271,131.0458867,0.46126587,0.21003902,0.08751784,0.0410185,66.07967685,65.47918443,0.2105894,0.75539103,0.76304764,0.00267145,0.75546165,0.7631197,0.00267195,476.10202186,1771.74391992,471.16886058,0.0033,15.0,1000
9,06.10.2020,09:00:38, gps_5bar_h23 ,Test,5.068328,999.0,34.886191,0.014817,35.004514,0.017321,131.398325,0.065018,3.75,0.968187,5.0,0.1,H23m. Nadel,0.0,34.92111211,34.94886979,0.12300423,34.91781211,34.94556979,0.12300423,0.01483183,0.02333809,0.01093827,0.0,17.45149014,17.46111585,0.05615717,1309.5417042,1310.582617,4.6126587,1309.4179542,1310.458867,4.6126587,0.0,0.0,0.0,130.95417042,131.0582617,0.46126587,130.94179542,131.0458867,0.46126587,0.05561937,0.08751784,0.0410185,65.44308803,65.47918443,0.2105894,0.76362593,0.76304764,0.00267145,0.7636981,0.7631197,0.00267195,1797.93480462,1771.74391992,471.16886058,0.0033,15.0,1000
