,Datum,time,measurement,measurement,pressure_sample[bar],current[mA],voltage_th[mV],voltage_needle_th[mV],voltage[mV],voltage_needle[mV],R_ges / mOhm*cm²,R_bulk / mOhm*cm²,contact_area[cm2],p_Kraftsensor / ?,pressure_rounded[bar],sample_thickness[cm],parameters,[mV]_in_[V],main_resistance[mOhm],main_resistance_mean[mOhm],main_resistance_error[mOhm],flow_resistance[mOhm],flow_resistance_mean[mOhm],flow_resistance_error[mOhm],bulk_resistance[mOhm],bulk_resistance_mean[mOhm],bulk_resistance_error[mOhm],bulk_resistance_sub[mOhm],contact_resistance[mOhm],contact_resistance_mean[mOhm],contact_resistance_error[mOhm],vs_main_resistance[mOhm*cm],vs_main_resistance_mean[mOhm*cm],vs_main_resistance_error[mOhm*cm],vs_flow_resistance[mOhm*cm],vs_flow_resistance_mean[mOhm*cm],vs_flow_resistance_error[mOhm*cm],vs_bulk_resistance[mOhm*cm],vs_bulk_resistance_mean[mOhm*cm],vs_bulk_resistance_error[mOhm*cm],as_main_resistance[mOhm*cm2],as_main_resistance_mean[mOhm*cm2],as_main_resistance_error[mOhm*cm2],as_flow_resistance[mOhm*cm2],as_flow_resistance_mean[mOhm*cm2],as_flow_resistance_error[mOhm*cm2],as_bulk_resistance[mOhm*cm2],as_bulk_resistance_mean[mOhm*cm2],as_bulk_resistance_error[mOhm*cm2],as_contact_resistance[mOhm*cm2],as_contact_resistance_mean[mOhm*cm2],as_contact_resistance_error[mOhm*cm2],vs_main_conductance[S/cm],vs_main_conductance_mean[S/cm],vs_main_conductance_error[S/cm],vs_flow_conductance[S/cm],vs_flow_conductance_mean[S/cm],vs_flow_conductance_error[S/cm],vs_bulk_conductance[S/cm],vs_bulk_conductance_mean[S/cm],vs_bulk_conductance_error[S/cm],degradation_corr[mOhm],cycle,[mV] in [V]
0,16.11.2020,09:35:00, fem U=100V / t=30s / Ra=0.219,5 Zyklen,1.986632,499.9,2.938229,2.929862,2.945967,2.942739,24.456418,24.429618,4.15,0.419996,2.0,0.1,H23m. Nadel,0.0,5.87763353,5.71641374,0.05615045,5.87274186,5.71152207,0.05615045,5.86089618,5.71325679,0.0515551,0.0,0.00592284,-0.00086736,0.00230909,243.92179136,237.23117006,2.33024388,243.71878719,237.02816589,2.33024388,0.0,0.0,0.0,24.39217914,23.72311701,0.23302439,24.37187872,23.70281659,0.23302439,24.32271914,23.71001566,0.21395367,0.02457979,-0.00359954,0.00958274,4.09967471,4.21650027,0.04081199,4.10308951,4.22011356,0.04088144,4.11138242,4.21864379,0.03756478,0.00489167,15.0,1000
1,16.11.2020,09:35:04, fem U=100V / t=30s / Ra=0.219,5 Zyklen,2.062614,1000.0,5.705133,5.704079,5.712871,5.716956,23.708414,23.725366,4.15,0.436037,2.0,0.1,H23m. Nadel,0.0,5.705133,5.71641374,0.05615045,5.70024133,5.71152207,0.05615045,5.704079,5.71325679,0.0515551,0.0,-0.00191883,-0.00086736,0.00230909,236.7630195,237.23117006,2.33024388,236.56001533,237.02816589,2.33024388,0.0,0.0,0.0,23.67630195,23.72311701,0.23302439,23.65600153,23.70281659,0.23302439,23.67192785,23.71001566,0.21395367,-0.00796316,-0.00359954,0.00958274,4.22363257,4.21650027,0.04081199,4.22725708,4.22011356,0.04088144,4.22441301,4.21864379,0.03756478,0.00489167,15.0,1000
2,16.11.2020,09:35:08, fem U=100V / t=30s / Ra=0.219,5 Zyklen,2.072582,1499.0,8.479615,8.482316,8.487353,8.495193,23.49734,23.519046,4.15,0.43819,2.0,0.1,H23m. Nadel,0.0,5.6568479,5.71641374,0.05615045,5.65195623,5.71152207,0.05615045,5.65864977,5.71325679,0.0515551,0.0,-0.00334677,-0.00086736,0.00230909,234.75918779,237.23117006,2.33024388,234.55618363,237.02816589,2.33024388,0.0,0.0,0.0,23.47591878,23.72311701,0.23302439,23.45561836,23.70281659,0.23302439,23.48339653,23.71001566,0.21395367,-0.01388908,-0.00359954,0.00958274,4.25968419,4.21650027,0.04081199,4.26337087,4.22011356,0.04088144,4.25832779,4.21864379,0.03756478,0.00489167,15.0,1000
3,16.11.2020,09:35:11, fem U=100V / t=30s / Ra=0.219,5 Zyklen,2.069628,1999.0,11.246455,11.253175,11.254193,11.266052,23.364133,23.388752,4.15,0.437476,2.0,0.1,H23m. Nadel,0.0,5.62604052,5.71641374,0.05615045,5.62114885,5.71152207,0.05615045,5.6294022,5.71325679,0.0515551,0.0,-0.00412667,-0.00086736,0.00230909,233.48068159,237.23117006,2.33024388,233.27767742,237.02816589,2.33024388,0.0,0.0,0.0,23.34806816,23.72311701,0.23302439,23.32776774,23.70281659,0.23302439,23.36201913,23.71001566,0.21395367,-0.0171257,-0.00359954,0.00958274,4.2830096,4.21650027,0.04081199,4.28673678,4.22011356,0.04088144,4.28045193,4.21864379,0.03756478,0.00489167,15.0,1000
4,16.11.2020,09:35:14, fem U=100V / t=30s / Ra=0.219,5 Zyklen,3.027736,499.9,2.269052,2.261936,2.27679,2.274813,18.901136,18.884728,4.15,0.640038,3.0,0.1,H23m. Nadel,0.0,4.5390118,4.5146924,0.01062255,4.5349118,4.5105924,0.01062255,4.52477696,4.50802342,0.00755035,0.0,0.00506742,0.00128449,0.00199844,188.3689898,187.35973463,0.44083572,188.1988398,187.18958463,0.44083572,0.0,0.0,0.0,18.83689898,18.73597346,0.04408357,18.81988398,18.71895846,0.04408357,18.77782436,18.70829721,0.03133397,0.02102981,0.00533063,0.00829353,5.30872943,5.33741469,0.01255213,5.31352904,5.34226641,0.01257495,5.32543057,5.34526692,0.0089586,0.0041,15.0,1000
5,16.11.2020,09:35:19, fem U=100V / t=30s / Ra=0.219,5 Zyklen,3.039368,999.0,4.520879,4.509086,4.528617,4.521963,18.812574,18.784931,4.15,0.642543,3.0,0.1,H23m. Nadel,0.0,4.5254044,4.5146924,0.01062255,4.5213044,4.5105924,0.01062255,4.5135996,4.50802342,0.00755035,0.0,0.0038524,0.00128449,0.00199844,187.80428278,187.35973463,0.44083572,187.63413278,187.18958463,0.44083572,0.0,0.0,0.0,18.78042828,18.73597346,0.04408357,18.76341328,18.71895846,0.04408357,18.73143834,18.70829721,0.03133397,0.01598747,0.00533063,0.00829353,5.3246922,5.33741469,0.01255213,5.32952073,5.34226641,0.01257495,5.33861833,5.34526692,0.0089586,0.0041,15.0,1000
6,16.11.2020,09:35:22, fem U=100V / t=30s / Ra=0.219,5 Zyklen,3.042867,1499.0,6.747474,6.752547,6.755212,6.765424,18.701888,18.73016,4.15,0.643339,3.0,0.1,H23m. Nadel,0.0,4.50131688,4.5146924,0.01062255,4.49721688,4.5105924,0.01062255,4.50470113,4.50802342,0.00755035,0.0,-0.00374213,0.00128449,0.00199844,186.80465043,187.35973463,0.44083572,186.63450043,187.18958463,0.44083572,0.0,0.0,0.0,18.68046504,18.73597346,0.04408357,18.66345004,18.71895846,0.04408357,18.69450971,18.70829721,0.03133397,-0.01552983,0.00533063,0.00829353,5.35318579,5.33741469,0.01255213,5.35806615,5.34226641,0.01257495,5.34916409,5.34526692,0.0089586,0.0041,15.0,1000
7,16.11.2020,09:35:25, fem U=100V / t=30s / Ra=0.219,5 Zyklen,3.048559,1999.0,8.98158,8.973543,8.989318,8.986419,18.662167,18.656148,4.15,0.644552,3.0,0.1,H23m. Nadel,0.0,4.49303652,4.5146924,0.01062255,4.48893652,4.5105924,0.01062255,4.48901601,4.50802342,0.00755035,0.0,-3.974e-05,0.00128449,0.00199844,186.46101551,187.35973463,0.44083572,186.29086551,187.18958463,0.44083572,0.0,0.0,0.0,18.64610155,18.73597346,0.04408357,18.62908655,18.71895846,0.04408357,18.62941643,18.70829721,0.03133397,-0.00016494,0.00533063,0.00829353,5.36305134,5.33741469,0.01255213,5.36794972,5.34226641,0.01257495,5.36785467,5.34526692,0.0089586,0.0041,15.0,1000
8,16.11.2020,09:35:28, fem U=100V / t=30s / Ra=0.219,5 Zyklen,5.059701,499.9,1.795614,1.794099,1.803352,1.806976,14.970817,15.000899,4.15,1.069526,5.0,0.1,H23m. Nadel,0.0,3.59194639,3.58089346,0.00410398,3.58864639,3.57759346,0.00410398,3.58891578,3.57759574,0.00507823,0.0,-0.0001347,-1.14e-06,0.00086146,149.06577516,148.60707872,0.17031529,148.92882516,148.47012872,0.17031529,0.0,0.0,0.0,14.90657752,14.86070787,0.01703153,14.89288252,14.84701287,0.01703153,14.8940005,14.84702233,0.02107465,-0.00055899,-4.73e-06,0.00357504,6.70844799,6.72918104,0.007705,6.71461686,6.73538814,0.00771922,6.71411284,6.73539803,0.00956848,0.0033,15.0,1000
9,16.11.2020,09:35:33, fem U=100V / t=30s / Ra=0.219,5 Zyklen,5.054399,1000.0,3.580394,3.577627,3.588132,3.590504,14.890749,14.900592,4.15,1.068612,5.0,0.1,H23m. Nadel,0.0,3.580394,3.58089346,0.00410398,3.577094,3.57759346,0.00410398,3.577627,3.57759574,0.00507823,0.0,-0.0002665,-1.14e-06,0.00086146,148.586351,148.60707872,0.17031529,148.449401,148.47012872,0.17031529,0.0,0.0,0.0,14.8586351,14.86070787,0.01703153,14.8449401,14.84701287,0.01703153,14.84715205,14.84702233,0.02107465,-0.00110597,-4.73e-06,0.00357504,6.73009326,6.72918104,0.007705,6.73630202,6.73538814,0.00771922,6.73529844,6.73539803,0.00956848,0.0033,15.0,1000
