,Datum,time,measurement,measurement,pressure_sample[bar],current[mA],voltage_th[mV],voltage_needle_th[mV],voltage[mV],voltage_needle[mV],R_ges / mOhm*cm²,R_bulk / mOhm*cm²,contact_area[cm2],p_Kraftsensor / ?,pressure_rounded[bar],sample_thickness[cm],parameters,[mV]_in_[V],main_resistance[mOhm],main_resistance_mean[mOhm],main_resistance_error[mOhm],flow_resistance[mOhm],flow_resistance_mean[mOhm],flow_resistance_error[mOhm],bulk_resistance[mOhm],bulk_resistance_mean[mOhm],bulk_resistance_error[mOhm],bulk_resistance_sub[mOhm],contact_resistance[mOhm],contact_resistance_mean[mOhm],contact_resistance_error[mOhm],vs_main_resistance[mOhm*cm],vs_main_resistance_mean[mOhm*cm],vs_main_resistance_error[mOhm*cm],vs_flow_resistance[mOhm*cm],vs_flow_resistance_mean[mOhm*cm],vs_flow_resistance_error[mOhm*cm],vs_bulk_resistance[mOhm*cm],vs_bulk_resistance_mean[mOhm*cm],vs_bulk_resistance_error[mOhm*cm],as_main_resistance[mOhm*cm2],as_main_resistance_mean[mOhm*cm2],as_main_resistance_error[mOhm*cm2],as_flow_resistance[mOhm*cm2],as_flow_resistance_mean[mOhm*cm2],as_flow_resistance_error[mOhm*cm2],as_bulk_resistance[mOhm*cm2],as_bulk_resistance_mean[mOhm*cm2],as_bulk_resistance_error[mOhm*cm2],as_contact_resistance[mOhm*cm2],as_contact_resistance_mean[mOhm*cm2],as_contact_resistance_error[mOhm*cm2],vs_main_conductance[S/cm],vs_main_conductance_mean[S/cm],vs_main_conductance_error[S/cm],vs_flow_conductance[S/cm],vs_flow_conductance_mean[S/cm],vs_flow_conductance_error[S/cm],vs_bulk_conductance[S/cm],vs_bulk_conductance_mean[S/cm],vs_bulk_conductance_error[S/cm],degradation_corr[mOhm],cycle,[mV] in [V]
0,01.09.2020,11:27:49, pp800a ,5Zyklen,1.960065,499.7,113.755002,0.033297,115.362894,0.036625,865.741153,0.274849,3.75,0.374436,2.0,0.1,29BCm. Nadel,0.0,227.64659196,164.47393513,25.45133087,221.54275319,158.37009637,25.45133087,0.06663398,0.03193793,0.01198598,0.0,110.73805961,79.16907922,12.72004436,8536.74719832,6167.77256743,954.42490774,8307.85324466,5938.87861378,954.42490774,0.0,0.0,0.0,853.67471983,616.77725674,95.44249077,830.78532447,593.88786138,95.44249077,0.24987743,0.11976724,0.04494741,415.26772352,296.88404707,47.70016636,0.11714064,0.17467778,0.0277478,0.12036804,0.18255305,0.03024785,400.19621387,1170.25269972,321.33078049,6.10383876,15.0,1000
1,01.09.2020,11:27:54, pp800a ,5Zyklen,2.051913,998.0,177.718704,0.029015,179.326596,0.032342,673.822378,0.121526,3.75,0.391962,2.0,0.1,29BCm. Nadel,0.0,178.07485371,164.47393513,25.45133087,171.97101494,158.37009637,25.45133087,0.02907315,0.03193793,0.01198598,0.0,85.9709709,79.16907922,12.72004436,6677.80701403,6167.77256743,954.42490774,6448.91306037,5938.87861378,954.42490774,0.0,0.0,0.0,667.7807014,616.77725674,95.44249077,644.89130604,593.88786138,95.44249077,0.1090243,0.11976724,0.04494741,322.39114087,296.88404707,47.70016636,0.14974976,0.17467778,0.0277478,0.15506489,0.18255305,0.03024785,917.22672181,1170.25269972,321.33078049,6.10383876,15.0,1000
2,01.09.2020,11:27:57, pp800a ,5Zyklen,2.075628,1498.0,215.892069,0.026446,217.499961,0.029773,544.47587,0.074531,3.75,0.396493,2.0,0.1,29BCm. Nadel,0.0,144.12020628,164.47393513,25.45133087,138.01636751,158.37009637,25.45133087,0.01765421,0.03193793,0.01198598,0.0,68.99935665,79.16907922,12.72004436,5404.50773531,6167.77256743,954.42490774,5175.61378166,5938.87861378,954.42490774,0.0,0.0,0.0,540.45077353,616.77725674,95.44249077,517.56137817,593.88786138,95.44249077,0.06620327,0.11976724,0.04494741,258.74758745,296.88404707,47.70016636,0.18503073,0.17467778,0.0277478,0.1932138,0.18255305,0.03024785,1510.49938239,1170.25269972,321.33078049,6.10383876,15.0,1000
3,01.09.2020,11:28:00, pp800a ,5Zyklen,2.07284,1998.0,215.892069,0.028752,217.499961,0.032079,408.220648,0.060208,3.75,0.39598,2.0,0.1,29BCm. Nadel,0.0,108.05408859,164.47393513,25.45133087,101.95024982,158.37009637,25.45133087,0.01439039,0.03193793,0.01198598,0.0,50.96792972,79.16907922,12.72004436,4052.02832207,6167.77256743,954.42490774,3823.13436842,5938.87861378,954.42490774,0.0,0.0,0.0,405.20283221,616.77725674,95.44249077,382.31343684,593.88786138,95.44249077,0.05396396,0.11976724,0.04494741,191.12973644,296.88404707,47.70016636,0.24678998,0.17467778,0.0277478,0.26156549,0.18255305,0.03024785,1853.0884808,1170.25269972,321.33078049,6.10383876,15.0,1000
4,01.09.2020,11:28:04, pp800a ,5Zyklen,3.039801,499.7,73.807702,0.029081,75.415594,0.032408,565.956529,0.243206,3.75,0.580732,3.0,0.1,29BCm. Nadel,0.0,147.70402642,131.42512796,8.34863276,142.77186556,126.4929671,8.34863276,0.05819692,0.02991396,0.01007025,0.0,71.35683432,63.23152657,4.17027904,5538.90099059,4928.44229843,313.07372867,5353.94495834,4743.48626618,313.07372867,0.0,0.0,0.0,553.89009906,492.84422984,31.30737287,535.39449583,474.34862662,31.30737287,0.21823844,0.11217736,0.03776344,267.5881287,237.11822463,15.6385464,0.18054123,0.20561942,0.01429888,0.18677816,0.21387636,0.0155168,458.21441262,1208.28879496,341.25103873,4.93216086,15.0,1000
5,01.09.2020,11:28:08, pp800a ,5Zyklen,3.056271,998.0,134.562285,0.030003,136.170177,0.03333,511.661486,0.12524,3.75,0.583803,3.0,0.1,29BCm. Nadel,0.0,134.8319489,131.42512796,8.34863276,129.89978804,126.4929671,8.34863276,0.03006313,0.02991396,0.01007025,0.0,64.93486246,63.23152657,4.17027904,5056.19808367,4928.44229843,313.07372867,4871.24205142,4743.48626618,313.07372867,0.0,0.0,0.0,505.61980837,492.84422984,31.30737287,487.12420514,474.34862662,31.30737287,0.11273672,0.11217736,0.03776344,243.50573421,237.11822463,15.6385464,0.19777706,0.20561942,0.01429888,0.20528645,0.21387636,0.0155168,887.02240887,1208.28879496,341.25103873,4.93216086,15.0,1000
6,01.09.2020,11:28:11, pp800a ,5Zyklen,3.061623,1498.0,202.395451,0.027302,204.003343,0.030629,510.689277,0.076675,3.75,0.584907,3.0,0.1,29BCm. Nadel,0.0,135.11044793,131.42512796,8.34863276,130.17828707,126.4929671,8.34863276,0.01822563,0.02991396,0.01007025,0.0,65.08003072,63.23152657,4.17027904,5066.6417974,4928.44229843,313.07372867,4881.68576515,4743.48626618,313.07372867,0.0,0.0,0.0,506.66417974,492.84422984,31.30737287,488.16857651,474.34862662,31.30737287,0.06834613,0.11217736,0.03776344,244.05011519,237.11822463,15.6385464,0.19736939,0.20561942,0.01429888,0.20484727,0.21387636,0.0155168,1463.14067345,1208.28879496,341.25103873,4.93216086,15.0,1000
7,01.09.2020,11:28:15, pp800a ,5Zyklen,3.063964,1998.0,215.892069,0.026314,217.499961,0.029641,408.220648,0.055632,3.75,0.585309,3.0,0.1,29BCm. Nadel,0.0,108.05408859,131.42512796,8.34863276,103.12192773,126.4929671,8.34863276,0.01317017,0.02991396,0.01007025,0.0,51.55437878,63.23152657,4.17027904,4052.02832207,4928.44229843,313.07372867,3867.07228982,4743.48626618,313.07372867,0.0,0.0,0.0,405.20283221,492.84422984,31.30737287,386.70722898,474.34862662,31.30737287,0.04938814,0.11217736,0.03776344,193.32892042,237.11822463,15.6385464,0.24678998,0.20561942,0.01429888,0.25859356,0.21387636,0.0155168,2024.77768488,1208.28879496,341.25103873,4.93216086,15.0,1000
8,01.09.2020,11:28:18, pp800a ,5Zyklen,5.060669,499.7,58.936736,0.035933,60.544628,0.03926,454.357324,0.294626,3.75,0.966839,5.0,0.1,29BCm. Nadel,0.0,117.94423854,113.98338928,2.09730761,113.99606859,110.03521933,2.09730761,0.07190915,0.03562947,0.01277129,0.0,56.96207972,54.99979493,1.04410568,4422.90894537,4274.37709818,78.64903521,4274.85257212,4126.32072493,78.64903521,0.0,0.0,0.0,442.29089454,427.43770982,7.86490352,427.48525721,412.63207249,7.86490352,0.2696593,0.13361052,0.04789234,213.60779896,206.24923098,3.91539631,0.22609554,0.23419608,0.00441898,0.2339262,0.24261799,0.00474663,370.83831946,1034.51536554,282.65670295,3.94816995,15.0,1000
9,01.09.2020,11:28:22, pp800a ,5Zyklen,5.063526,998.0,114.70568,0.035076,116.313572,0.038403,437.049996,0.144301,3.75,0.967329,5.0,0.1,29BCm. Nadel,0.0,114.9355511,113.98338928,2.09730761,110.98738115,110.03521933,2.09730761,0.03514629,0.03562947,0.01277129,0.0,55.47611743,54.99979493,1.04410568,4310.08316633,4274.37709818,78.64903521,4162.02679308,4126.32072493,78.64903521,0.0,0.0,0.0,431.00831663,427.43770982,7.86490352,416.20267931,412.63207249,7.86490352,0.1317986,0.13361052,0.04789234,208.03544036,206.24923098,3.91539631,0.23201408,0.23419608,0.00441898,0.24026755,0.24261799,0.00474663,758.73341696,1034.51536554,282.65670295,3.94816995,15.0,1000
